Course,Section,Year,Exam_Type,Exam_Start_Time,Exam_End_Time,Building,Room,Rows_From,Row_Start,Row_End
BREE 327,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 415,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BREE 416,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,21-Dec-2023 at 9:00 AM,21-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BTEC 501,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
BUSA 391,71,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,Fieldhouse,9,AAA,ZZZ
CANS 200,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 2:00 PM,7-Dec-2023 at 5:00 PM,GYM,Fieldhouse,31-36,AAA,ZZZ
CANS 300,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 6:30 PM,12-Dec-2023 at 9:30 PM,GYM,main gym,7-8,AAA,ZZZ
CANS 308,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,main gym,9-11,AAA,ZZZ
CATH 200,1,F2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,12-Dec-2023 at 6:30 PM,12-Dec-2023 at 9:30 PM,STBIO,N2/2,,AAA,ZZZ
CHEE 200,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,Studio 1,1-7,AAA,ZZZ
CHEE 231,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,11-Dec-2023 at 12:00 PM,GYM,main gym,4-9,AAA,ZZZ
CHEE 314,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 9:00 AM,8-Dec-2023 at 12:00 PM,GYM,Fieldhouse,30-32,AAA,ZZZ
CHEE 370,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 9:00 AM,12-Dec-2023 at 12:00 PM,GYM,Fieldhouse,40-43,AAA,ZZZ
CHEE 380,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,Fieldhouse,40-43,AAA,ZZZ
CHEE 400,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 9:00 AM,20-Dec-2023 at 12:00 PM,GYM,Fieldhouse,28-29,AAA,ZZZ
CHEE 423,1,F2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,11-Dec-2023 at 12:00 PM,ENGTR,100,,AAA,ZZZ
CHEE 453,1,F2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,13-Dec-2023 at 2:00 PM,13-Dec-2023 at 5:00 PM,ENGTR,100,,AAA,ZZZ
CHEE 455,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,main gym,11-15,AAA,ZZZ
CHEE 563,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 2:00 PM,15-Dec-2023 at 5:00 PM,GYM,main gym,18-20,AAA,ZZZ
CHEE 591,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 6:30 PM,14-Dec-2023 at 9:30 PM,GYM,Fieldhouse,41-42,AAA,ZZZ
CHEM 110,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 6:30 PM,19-Dec-2023 at 9:30 PM,GYM,Fieldhouse,1-30,AAA,ZZZ
CHEM 110,2,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 6:30 PM,19-Dec-2023 at 9:30 PM,GYM,Fieldhouse,1-30,AAA,ZZZ
CHEM 183,1,F2023,ONLINE - TAKE-HOME - 72 HOURS,8-Dec-2023 at 6:30 PM,11-Dec-2023 at 6:30 PM,ONLINE,EXAM,,AAA,ZZZ
CHEM 203,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 9:00 AM,20-Dec-2023 at 12:00 PM,GYM,main gym,30-38,AAA,ZZZ
CHEM 204,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 6:30 PM,19-Dec-2023 at 9:30 PM,GYM,Fieldhouse,33-37,AAA,ZZZ
CHEM 211,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,GYM,Fieldhouse,1-22,AAA,ZZZ
CHEM 211,2,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,GYM,Fieldhouse,1-22,AAA,ZZZ
